id,u
1,val_1
2,val_2
3,val_3
4,val_4
5,val_5
6,val_6
7,val_7
8,val_8
9,val_9
10,val_10
11,val_11
12,val_12
13,val_13
14,val_14
15,val_15
16,val_16
17,val_17
18,val_18
19,val_19
20,val_20
21,val_21
22,val_22
23,val_23
24,val_24
25,val_25
26,val_26
27,val_27
28,val_28
29,val_29
30,val_30
31,val_31
32,val_32
33,val_33
34,val_34
35,val_35
36,val_36
37,val_37
38,val_38
39,val_39
40,val_40
41,val_41
42,val_42
43,val_43
44,val_44
45,val_45
46,val_46
47,val_47
48,val_48
49,val_49
50,val_50
51,val_51
52,val_52
53,val_53
54,val_54
55,val_55
56,val_56
57,val_57
58,val_58
59,val_59
60,val_60
61,val_61
62,val_62
63,val_63
64,val_64
65,val_65
66,val_66
67,val_67
68,val_68
69,val_69
70,val_70
71,val_71
72,val_72
73,val_73
74,val_74
75,val_75
76,val_76
77,val_77
78,val_78
79,val_79
80,val_80
81,val_81
82,val_82
83,val_83
84,val_84
85,val_85
86,val_86
87,val_87
88,val_88
89,val_89
90,val_90
91,val_91
92,val_92
93,val_93
94,val_94
95,val_95
96,val_96
97,val_97
98,val_98
99,val_99
100,val_100
101,val_101
102,val_102
103,val_103
104,val_104
105,val_105
106,val_106
107,val_107
108,val_108
109,val_109
110,val_110
111,val_111
112,val_112
113,val_113
114,val_114
115,val_115
116,val_116
117,val_117
118,val_118
119,val_119
120,val_120
121,val_121
122,val_122
123,val_123
124,val_124
125,val_125
126,val_126
127,val_127
128,val_128
129,val_129
130,val_130
131,val_131
132,val_132
133,val_133
134,val_134
135,val_135
136,val_136
137,val_137
138,val_138
139,val_139
140,val_140
141,val_141
142,val_142
143,val_143
144,val_144
145,val_145
146,val_146
147,val_147
148,val_148
149,val_149
150,val_150
151,val_151
152,val_152
153,val_153
154,val_154
155,val_155
156,val_156
157,val_157
158,val_158
159,val_159
160,val_160
161,val_161
162,val_162
163,val_163
164,val_164
165,val_165
166,val_166
167,val_167
168,val_168
169,val_169
170,val_170
171,val_171
172,val_172
173,val_173
174,val_174
175,val_175
176,val_176
177,val_177
178,val_178
179,val_179
180,val_180
181,val_181
182,val_182
183,val_183
184,val_184
185,val_185
186,val_186
187,val_187
188,val_188
189,val_189
190,val_190
191,val_191
192,val_192
193,val_193
194,val_194
195,val_195
196,val_196
197,val_197
198,val_198
199,val_199
200,val_200
201,val_201
202,val_202
203,val_203
204,val_204
205,val_205
206,val_206
207,val_207
208,val_208
209,val_209
210,val_210
211,val_211
212,val_212
213,val_213
214,val_214
215,val_215
216,val_216
217,val_217
218,val_218
219,val_219
220,val_220
221,val_221
222,val_222
223,val_223
224,val_224
225,val_225
226,val_226
227,val_227
228,val_228
229,val_229
230,val_230
231,val_231
232,val_232
233,val_233
234,val_234
235,val_235
236,val_236
237,val_237
238,val_238
239,val_239
240,val_240
241,val_241
242,val_242
243,val_243
244,val_244
245,val_245
246,val_246
247,val_247
248,val_248
249,val_249
250,val_250
251,val_251
252,val_252
253,val_253
254,val_254
255,val_255
256,val_256
257,val_257
258,val_258
259,val_259
260,val_260
261,val_261
262,val_262
263,val_263
264,val_264
265,val_265
266,val_266
267,val_267
268,val_268
269,val_269
270,val_270
271,val_271
272,val_272
273,val_273
274,val_274
275,val_275
276,val_276
277,val_277
278,val_278
279,val_279
280,val_280
281,val_281
282,val_282
283,val_283
284,val_284
285,val_285
286,val_286
287,val_287
288,val_288
289,val_289
290,val_290
291,val_291
292,val_292
293,val_293
294,val_294
295,val_295
296,val_296
297,val_297
298,val_298
299,val_299
300,val_300
301,val_301
302,val_302
303,val_303
304,val_304
305,val_305
306,val_306
307,val_307
308,val_308
309,val_309
310,val_310
311,val_311
312,val_312
313,val_313
314,val_314
315,val_315
316,val_316
317,val_317
318,val_318
319,val_319
320,val_320
321,val_321
322,val_322
323,val_323
324,val_324
325,val_325
326,val_326
327,val_327
328,val_328
329,val_329
330,val_330
331,val_331
332,val_332
333,val_333
334,val_334
335,val_335
336,val_336
337,val_337
338,val_338
339,val_339
340,val_340
341,val_341
342,val_342
343,val_343
344,val_344
345,val_345
346,val_346
347,val_347
348,val_348
349,val_349
350,val_350
351,val_351
352,val_352
353,val_353
354,val_354
355,val_355
356,val_356
357,val_357
358,val_358
359,val_359
360,val_360
361,val_361
362,val_362
363,val_363
364,val_364
365,val_365
366,val_366
367,val_367
368,val_368
369,val_369
370,val_370
371,val_371
372,val_372
373,val_373
374,val_374
375,val_375
376,val_376
377,val_377
378,val_378
379,val_379
380,val_380
381,val_381
382,val_382
383,val_383
384,val_384
385,val_385
386,val_386
387,val_387
388,val_388
389,val_389
390,val_390
391,val_391
392,val_392
393,val_393
394,val_394
395,val_395
396,val_396
397,val_397
398,val_398
399,val_399
400,val_400
401,val_401
402,val_402
403,val_403
404,val_404
405,val_405
406,val_406
407,val_407
408,val_408
409,val_409
410,val_410
411,val_411
412,val_412
413,val_413
414,val_414
415,val_415
416,val_416
417,val_417
418,val_418
419,val_419
420,val_420
421,val_421
422,val_422
423,val_423
424,val_424
425,val_425
426,val_426
427,val_427
428,val_428
429,val_429
430,val_430
431,val_431
432,val_432
433,val_433
434,val_434
435,val_435
436,val_436
437,val_437
438,val_438
439,val_439
440,val_440
441,val_441
442,val_442
443,val_443
444,val_444
445,val_445
446,val_446
447,val_447
448,val_448
449,val_449
450,val_450
451,val_451
452,val_452
453,val_453
454,val_454
455,val_455
456,val_456
457,val_457
458,val_458
459,val_459
460,val_460
461,val_461
462,val_462
463,val_463
464,val_464
465,val_465
466,val_466
467,val_467
468,val_468
469,val_469
470,val_470
471,val_471
472,val_472
473,val_473
474,val_474
475,val_475
476,val_476
477,val_477
478,val_478
479,val_479
480,val_480
481,val_481
482,val_482
483,val_483
484,val_484
485,val_485
486,val_486
487,val_487
488,val_488
489,val_489
490,val_490
491,val_491
492,val_492
493,val_493
494,val_494
495,val_495
496,val_496
497,val_497
498,val_498
499,val_499
500,val_500
501,val_501
502,val_502
503,val_503
504,val_504
505,val_505
506,val_506
507,val_507
508,val_508
509,val_509
510,val_510
511,val_511
512,val_512
513,val_513
514,val_514
515,val_515
516,val_516
517,val_517
518,val_518
519,val_519
520,val_520
521,val_521
522,val_522
523,val_523
524,val_524
525,val_525
526,val_526
527,val_527
528,val_528
529,val_529
530,val_530
531,val_531
532,val_532
533,val_533
534,val_534
535,val_535
536,val_536
537,val_537
538,val_538
539,val_539
540,val_540
541,val_541
542,val_542
543,val_543
544,val_544
545,val_545
546,val_546
547,val_547
548,val_548
549,val_549
550,val_550
551,val_551
552,val_552
553,val_553
554,val_554
555,val_555
556,val_556
557,val_557
558,val_558
559,val_559
560,val_560
561,val_561
562,val_562
563,val_563
564,val_564
565,val_565
566,val_566
567,val_567
568,val_568
569,val_569
570,val_570
571,val_571
572,val_572
573,val_573
574,val_574
575,val_575
576,val_576
577,val_577
578,val_578
579,val_579
580,val_580
581,val_581
582,val_582
583,val_583
584,val_584
585,val_585
586,val_586
587,val_587
588,val_588
589,val_589
590,val_590
591,val_591
592,val_592
593,val_593
594,val_594
595,val_595
596,val_596
597,val_597
598,val_598
599,val_599
600,val_600
601,val_601
602,val_602
603,val_603
604,val_604
605,val_605
606,val_606
607,val_607
608,val_608
609,val_609
610,val_610
611,val_611
612,val_612
613,val_613
614,val_614
615,val_615
616,val_616
617,val_617
618,val_618
619,val_619
620,val_620
621,val_621
622,val_622
623,val_623
624,val_624
625,val_625
626,val_626
627,val_627
628,val_628
629,val_629
630,val_630
631,val_631
632,val_632
633,val_633
634,val_634
635,val_635
636,val_636
637,val_637
638,val_638
639,val_639
640,val_640
641,val_641
642,val_642
643,val_643
644,val_644
645,val_645
646,val_646
647,val_647
648,val_648
649,val_649
650,val_650
651,val_651
652,val_652
653,val_653
654,val_654
655,val_655
656,val_656
657,val_657
658,val_658
659,val_659
660,val_660
661,val_661
662,val_662
663,val_663
664,val_664
665,val_665
666,val_666
667,val_667
668,val_668
669,val_669
670,val_670
671,val_671
672,val_672
673,val_673
674,val_674
675,val_675
676,val_676
677,val_677
678,val_678
679,val_679
680,val_680
681,val_681
682,val_682
683,val_683
684,val_684
685,val_685
686,val_686
687,val_687
688,val_688
689,val_689
690,val_690
691,val_691
692,val_692
693,val_693
694,val_694
695,val_695
696,val_696
697,val_697
698,val_698
699,val_699
700,val_700
701,val_701
702,val_702
703,val_703
704,val_704
705,val_705
706,val_706
707,val_707
708,val_708
709,val_709
710,val_710
711,val_711
712,val_712
713,val_713
714,val_714
715,val_715
716,val_716
717,val_717
718,val_718
719,val_719
720,val_720
721,val_721
722,val_722
723,val_723
724,val_724
725,val_725
726,val_726
727,val_727
728,val_728
729,val_729
730,val_730
731,val_731
732,val_732
733,val_733
734,val_734
735,val_735
736,val_736
737,val_737
738,val_738
739,val_739
740,val_740
741,val_741
742,val_742
743,val_743
744,val_744
745,val_745
746,val_746
747,val_747
748,val_748
749,val_749
750,val_750
751,val_751
752,val_752
753,val_753
754,val_754
755,val_755
756,val_756
757,val_757
758,val_758
759,val_759
760,val_760
761,val_761
762,val_762
763,val_763
764,val_764
765,val_765
766,val_766
767,val_767
768,val_768
769,val_769
770,val_770
771,val_771
772,val_772
773,val_773
774,val_774
775,val_775
776,val_776
777,val_777
778,val_778
779,val_779
780,val_780
781,val_781
782,val_782
783,val_783
784,val_784
785,val_785
786,val_786
787,val_787
788,val_788
789,val_789
790,val_790
791,val_791
792,val_792
793,val_793
794,val_794
795,val_795
796,val_796
797,val_797
798,val_798
799,val_799
800,val_800
801,val_801
802,val_802
803,val_803
804,val_804
805,val_805
806,val_806
807,val_807
808,val_808
809,val_809
810,val_810
811,val_811
812,val_812
813,val_813
814,val_814
815,val_815
816,val_816
817,val_817
818,val_818
819,val_819
820,val_820
821,val_821
822,val_822
823,val_823
824,val_824
825,val_825
826,val_826
827,val_827
828,val_828
829,val_829
830,val_830
831,val_831
832,val_832
833,val_833
834,val_834
835,val_835
836,val_836
837,val_837
838,val_838
839,val_839
840,val_840
841,val_841
842,val_842
843,val_843
844,val_844
845,val_845
846,val_846
847,val_847
848,val_848
849,val_849
850,val_850
851,val_851
852,val_852
853,val_853
854,val_854
855,val_855
856,val_856
857,val_857
858,val_858
859,val_859
860,val_860
861,val_861
862,val_862
863,val_863
864,val_864
865,val_865
866,val_866
867,val_867
868,val_868
869,val_869
870,val_870
871,val_871
872,val_872
873,val_873
874,val_874
875,val_875
876,val_876
877,val_877
878,val_878
879,val_879
880,val_880
881,val_881
882,val_882
883,val_883
884,val_884
885,val_885
886,val_886
887,val_887
888,val_888
889,val_889
890,val_890
891,val_891
892,val_892
893,val_893
894,val_894
895,val_895
896,val_896
897,val_897
898,val_898
899,val_899
900,val_900
901,val_901
902,val_902
903,val_903
904,val_904
905,val_905
906,val_906
907,val_907
908,val_908
909,val_909
910,val_910
911,val_911
912,val_912
913,val_913
914,val_914
915,val_915
916,val_916
917,val_917
918,val_918
919,val_919
920,val_920
921,val_921
922,val_922
923,val_923
924,val_924
925,val_925
926,val_926
927,val_927
928,val_928
929,val_929
930,val_930
931,val_931
932,val_932
933,val_933
934,val_934
935,val_935
936,val_936
937,val_937
938,val_938
939,val_939
940,val_940
941,val_941
942,val_942
943,val_943
944,val_944
945,val_945
946,val_946
947,val_947
948,val_948
949,val_949
950,val_950
951,val_951
952,val_952
953,val_953
954,val_954
955,val_955
956,val_956
957,val_957
958,val_958
959,val_959
960,val_960
961,val_961
962,val_962
963,val_963
964,val_964
965,val_965
966,val_966
967,val_967
968,val_968
969,val_969
970,val_970
971,val_971
972,val_972
973,val_973
974,val_974
975,val_975
976,val_976
977,val_977
978,val_978
979,val_979
980,val_980
981,val_981
982,val_982
983,val_983
984,val_984
985,val_985
986,val_986
987,val_987
988,val_988
989,val_989
990,val_990
991,val_991
992,val_992
993,val_993
994,val_994
995,val_995
996,val_996
997,val_997
998,val_998
999,val_999
1000,val_1000
1001,val_1001
1002,val_1002
1003,val_1003
1004,val_1004
1005,val_1005
1006,val_1006
1007,val_1007
1008,val_1008
1009,val_1009
1010,val_1010
1011,val_1011
1012,val_1012
