x,y,grp
1,1,g1
2,2,g2
3,3,g3
4,4,g4
5,5,g0
6,6,g1
7,7,g2
8,8,g3
9,9,g4
10,10,g0
11,11,g1
12,12,g2
13,13,g3
14,14,g4
15,15,g0
16,16,g1
17,17,g2
18,18,g3
19,19,g4
20,20,g0
21,21,g1
22,22,g2
23,23,g3
24,24,g4
25,25,g0
26,26,g1
27,27,g2
28,28,g3
29,29,g4
30,30,g0
31,31,g1
32,32,g2
33,33,g3
34,34,g4
35,35,g0
36,36,g1
37,37,g2
38,38,g3
39,39,g4
40,40,g0
41,41,g1
42,42,g2
43,43,g3
44,44,g4
45,45,g0
46,46,g1
47,47,g2
48,48,g3
49,49,g4
50,50,g0
51,51,g1
52,52,g2
53,53,g3
54,54,g4
55,55,g0
56,56,g1
57,57,g2
58,58,g3
59,59,g4
60,60,g0
61,61,g1
62,62,g2
63,63,g3
64,64,g4
65,65,g0
66,66,g1
67,67,g2
68,68,g3
69,69,g4
70,70,g0
71,71,g1
72,72,g2
73,73,g3
74,74,g4
75,75,g0
76,76,g1
77,77,g2
78,78,g3
79,79,g4
80,80,g0
81,81,g1
82,82,g2
83,83,g3
84,84,g4
85,85,g0
86,86,g1
87,87,g2
88,88,g3
89,89,g4
90,90,g0
91,91,g1
92,92,g2
93,93,g3
94,94,g4
95,95,g0
96,96,g1
97,0,g2
98,1,g3
99,2,g4
100,3,g0
101,4,g1
102,5,g2
103,6,g3
104,7,g4
105,8,g0
106,9,g1
107,10,g2
108,11,g3
109,12,g4
110,13,g0
111,14,g1
112,15,g2
113,16,g3
114,17,g4
115,18,g0
116,19,g1
117,20,g2
118,21,g3
119,22,g4
120,23,g0
121,24,g1
122,25,g2
123,26,g3
124,27,g4
125,28,g0
126,29,g1
127,30,g2
128,31,g3
129,32,g4
130,33,g0
131,34,g1
132,35,g2
133,36,g3
134,37,g4
135,38,g0
136,39,g1
137,40,g2
138,41,g3
139,42,g4
140,43,g0
141,44,g1
142,45,g2
143,46,g3
144,47,g4
145,48,g0
146,49,g1
147,50,g2
148,51,g3
149,52,g4
150,53,g0
151,54,g1
152,55,g2
153,56,g3
154,57,g4
155,58,g0
156,59,g1
157,60,g2
158,61,g3
159,62,g4
160,63,g0
161,64,g1
162,65,g2
163,66,g3
164,67,g4
165,68,g0
166,69,g1
167,70,g2
168,71,g3
169,72,g4
170,73,g0
171,74,g1
172,75,g2
173,76,g3
174,77,g4
175,78,g0
176,79,g1
177,80,g2
178,81,g3
179,82,g4
180,83,g0
181,84,g1
182,85,g2
183,86,g3
184,87,g4
185,88,g0
186,89,g1
187,90,g2
188,91,g3
189,92,g4
190,93,g0
191,94,g1
192,95,g2
193,96,g3
194,0,g4
195,1,g0
196,2,g1
197,3,g2
198,4,g3
199,5,g4
200,6,g0
201,7,g1
202,8,g2
203,9,g3
204,10,g4
205,11,g0
206,12,g1
207,13,g2
208,14,g3
209,15,g4
210,16,g0
211,17,g1
212,18,g2
213,19,g3
214,20,g4
215,21,g0
216,22,g1
217,23,g2
218,24,g3
219,25,g4
220,26,g0
221,27,g1
222,28,g2
223,29,g3
224,30,g4
225,31,g0
226,32,g1
227,33,g2
228,34,g3
229,35,g4
230,36,g0
231,37,g1
232,38,g2
233,39,g3
234,40,g4
235,41,g0
236,42,g1
237,43,g2
238,44,g3
239,45,g4
240,46,g0
241,47,g1
242,48,g2
243,49,g3
244,50,g4
245,51,g0
246,52,g1
247,53,g2
248,54,g3
249,55,g4
250,56,g0
251,57,g1
252,58,g2
253,59,g3
254,60,g4
255,61,g0
256,62,g1
257,63,g2
258,64,g3
259,65,g4
260,66,g0
261,67,g1
262,68,g2
263,69,g3
264,70,g4
265,71,g0
266,72,g1
267,73,g2
268,74,g3
269,75,g4
270,76,g0
271,77,g1
272,78,g2
273,79,g3
274,80,g4
275,81,g0
276,82,g1
277,83,g2
278,84,g3
279,85,g4
280,86,g0
281,87,g1
282,88,g2
283,89,g3
284,90,g4
285,91,g0
286,92,g1
287,93,g2
288,94,g3
289,95,g4
290,96,g0
291,0,g1
292,1,g2
293,2,g3
294,3,g4
295,4,g0
296,5,g1
297,6,g2
298,7,g3
299,8,g4
300,9,g0
301,10,g1
302,11,g2
303,12,g3
304,13,g4
305,14,g0
306,15,g1
307,16,g2
308,17,g3
309,18,g4
310,19,g0
311,20,g1
312,21,g2
313,22,g3
314,23,g4
315,24,g0
316,25,g1
317,26,g2
318,27,g3
319,28,g4
320,29,g0
321,30,g1
322,31,g2
323,32,g3
324,33,g4
325,34,g0
326,35,g1
327,36,g2
328,37,g3
329,38,g4
330,39,g0
331,40,g1
332,41,g2
333,42,g3
334,43,g4
335,44,g0
336,45,g1
337,46,g2
338,47,g3
339,48,g4
340,49,g0
341,50,g1
342,51,g2
343,52,g3
344,53,g4
345,54,g0
346,55,g1
347,56,g2
348,57,g3
349,58,g4
350,59,g0
351,60,g1
352,61,g2
353,62,g3
354,63,g4
355,64,g0
356,65,g1
357,66,g2
358,67,g3
359,68,g4
360,69,g0
361,70,g1
362,71,g2
363,72,g3
364,73,g4
365,74,g0
366,75,g1
367,76,g2
368,77,g3
369,78,g4
370,79,g0
371,80,g1
372,81,g2
373,82,g3
374,83,g4
375,84,g0
376,85,g1
377,86,g2
378,87,g3
379,88,g4
380,89,g0
381,90,g1
382,91,g2
383,92,g3
384,93,g4
385,94,g0
386,95,g1
387,96,g2
388,0,g3
389,1,g4
390,2,g0
391,3,g1
392,4,g2
393,5,g3
394,6,g4
395,7,g0
396,8,g1
397,9,g2
398,10,g3
399,11,g4
400,12,g0
401,13,g1
402,14,g2
403,15,g3
404,16,g4
